,사업장명,도로명전체주소,좌표정보(x),좌표정보(y),시도명
1675,더뷰호스텔,경상남도 통영시 중앙시장4길 6-27 (동호동),330403.618749246,150539.748477167,경상남도
1676,달몽드 게스트하우스,경상남도 통영시 충렬로 14-25 (항남동),329859.08375509,150251.500506862,경상남도
1677,스탠포드호텔앤리조트㈜,경상남도 통영시 도남로 347 (도남동),331613.245023943,148265.213274146,경상남도
1678,스탠포드리조트,"경상남도 통영시 도남로 347 (도남동, 스탠포드호텔앤리조트)",331613.245023943,148265.213274146,경상남도
1679,사계절호스텔,경상남도 통영시 용남면 해간길 46-87,334211.225475446,152823.855175189,경상남도
1680,통영시티호스텔,경상남도 통영시 항남2길 25-44 (항남동),330078.683834815,150156.905164264,경상남도
1681,주식회사 통영비치캐슬호텔,경상남도 통영시 평인일주로 486-1 (평림동),326410.863717944,151538.08509111,경상남도
1682,동경호텔,경상남도 통영시 광도면 죽림5로 43,329802.927396497,154998.405657497,경상남도
1683,통영항게스트하우스,경상남도 통영시 항남5길 12-12 (서호동),329922.544210509,150079.13210228,경상남도
1684,포르투나호텔,경상남도 통영시 미수해안로 152 (봉평동),329272.592582199,149161.488324062,경상남도
1685,예뜰리에,"경상남도 통영시 동호로 8, 301호 (정량동, 창용제니스타운)",330905.986566793,150589.870259358,경상남도
1686,호텔 더 디자이너스 홍대,서울특별시 마포구 양화로 86 (서교동),192647.075671686,449962.851191072,서울특별시
1687,필로소퍼,"서울특별시 마포구 동교로 217, 홍대LJ빌딩 2층~4층 (동교동)",193173.291498782,450805.577656258,서울특별시
1688,더휴식 아늑 홍대점,서울특별시 마포구 동교로 162-7 (서교동),192893.333078404,450367.063858996,서울특별시
1689,신라스테이 마포,서울특별시 마포구 마포대로 83 (도화동),195484.919869451,448958.582313523,서울특별시
1690,원앤온니에이엠씨,서울특별시 마포구 월드컵북로 31 (서교동),192736.935397287,450550.232656274,서울특별시
1691,(주)서울가든,"서울특별시 마포구 마포대로 58 (도화동, 가든호텔)",195366.504486477,448716.823596557,서울특별시
1692,써클호텔,"서울특별시 마포구 양화로 15 (합정동, 호텔써클)",192044.052062349,449625.190175398,서울특별시
1693,(주)호텔롯데 롯데시티 호텔마포,"서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",195564.375757848,449186.933273231,서울특별시
1694,스탠포드호텔코리아(주) 스탠포드호텔서울,"서울특별시 마포구 월드컵북로58길 15 (상암동, 스탠포드호텔코리아)",189919.550051873,453342.222208599,서울특별시
1695,에이치에비뉴 호텔 이대점,서울특별시 마포구 신촌로 152 (노고산동),194856.148175113,450442.424814188,서울특별시
1696,글래드호텔 마포,"서울특별시 마포구 마포대로 92, 효성해링턴 스퀘어 (도화동)",195616.580723896,448973.867131637,서울특별시
1697,(주)호텔롯데 L7홍대,"서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 (동교동)",193005.883365365,450387.023230304,서울특별시
1698,라이즈호텔,서울특별시 마포구 양화로 130 (서교동),192971.947727746,450243.232547428,서울특별시
1699,나인브릭,"서울특별시 마포구 홍익로5길 32 (서교동, 나인브릭)",192911.642624498,450171.317352359,서울특별시
1700,나비호스텔,서울특별시 마포구 양화로 177-1 (동교동),193279.38663668,450637.276776739,서울특별시
1701,따담,서울특별시 영등포구 영등포로 93 (당산동2가),190378.895367059,446678.151132037,서울특별시
1702,소래호텔카카오,인천광역시 남동구 앵고개로948번길 48 (논현동),176585.627503171,433209.066248884,인천광역시
1703,엠플레이스호텔,"인천광역시 남동구 인하로507번길 56 (구월동, 엠플레이스호텔)",173686.389217784,438219.344730238,인천광역시
1704,호텔 반월,인천광역시 남동구 선수촌공원로17번길 6 (구월동),174210.535135462,437665.218856393,인천광역시
1705,파크마린호텔,"인천광역시 남동구 소래역로 44, 파크마린호텔 (논현동)",176449.241257438,433249.717336692,인천광역시
1706,파이호텔,"인천광역시 남동구 석촌로46번길 47 (간석동,(169-9,10,11))",174405.961081025,440270.676347001,인천광역시
1707,폴로(POLO)관광호텔,인천광역시 남동구 앵고개로934번길 30 (논현동),176487.044237386,433238.645154907,인천광역시
1708,3에스(S) 호텔(소래점),인천광역시 남동구 소래역로 26-16 (논현동),176592.297675041,433082.565439456,인천광역시
1709,아늑호텔 인천 구월점,인천광역시 남동구 예술로204번길 15 (구월동),173592.515033231,438962.826383396,인천광역시
1710,골든호텔,"인천광역시 남동구 석촌로 57, 간석동 (간석동, 골든호텔)",174157.506292237,440425.960365288,인천광역시
1711,호텔 라트리,"인천광역시 남동구 인하로507번길 50 (구월동, 호텔 라트리)",173684.360604012,438192.356799111,인천광역시
1712,호텔 더 디자이너스 인천,인천광역시 남동구 남동대로765번길 8 (구월동),174013.75011994,438808.873984173,인천광역시
1713,티티호텔,부산광역시 부산진구 새싹로 35 (부전동),387305.293765091,186544.136504508,부산광역시
1714,다선콘도,nan,344060.129500311,216652.611850916,nan
1715,웰스테이 풀빌라,전라남도 여수시 돌산읍 돌산로 3169-21,269339.197285687,134095.876742664,전라남도
1716,포레스타,서울특별시 송파구 백제고분로7길 23-5 (잠실동),207125.820825269,445419.558960012,서울특별시
1717,컬리넌호텔 구로,서울특별시 구로구 시흥대로 533 (구로동),191043.644024006,442112.644374091,서울특별시
1718,아단아,"서울특별시 구로구 디지털로19길 6-8, 아단아 (가리봉동)",190241.658927066,442019.000152412,서울특별시
1719,구로 제이에스 호스텔,"서울특별시 구로구 남부순환로105길 32, 구로 제이에스 호스텔 (가리봉동)",190289.173314581,441929.798809285,서울특별시
1720,파크선샤인제주 관광호텔,제주특별자치도 서귀포시 남성중로 135 (서홍동),158316.765062821,-27953.8220919242,제주특별자치도
1721,워라밸 게스트하우스,"부산광역시 동구 초량중로 11, 2층 (초량동)",385570.784118942,181237.984409197,부산광역시
1723,호텔 그레이스리 서울,서울특별시 중구 세종대로12길 12 (남대문로4가),197895.491160507,451035.7030265,서울특별시
1724,르릿,서울특별시 중구 장충단로10길 27 (광희동2가),200686.364658168,451262.161389721,서울특별시
1725,코모도호텔 포항 송도,"경상북도 포항시 남구 송도로 71 (송도동, 코모도비취관광호텔)",414213.342739996,284259.447537924,경상북도
1726,베니키아 호텔 포항,경상북도 포항시 남구 중앙로 128 (해도동),413442.557978329,283055.130201044,경상북도
1727,오션힐스 골프 & 리조트,경상북도 포항시 북구 송라면 대전길 7,411959.901723844,307334.096335002,경상북도
1728,아델캐슬,전라남도 화순군 도곡면 지강로 459-7,191309.540659934,170672.913690493,전라남도
1729,옐로우라이트하우스,"부산광역시 수영구 광안해변로370번길 9-32, 401호 (민락동)",394403.87979233,186260.907153913,부산광역시
1730,베니키아 천안관광호텔,"충청남도 천안시 서북구 양지21길 42, e천안관광호텔 (성정동)",212443.780310393,367898.943799123,충청남도
1731,한화리조트제주,"제주특별자치도 제주시 명림로 575-107, 한화리조트 (회천동)",166285.365458268,-5257.14441273754,제주특별자치도
1732,하늘구름,인천광역시 중구 용유서로302번길 36-1 (을왕동),144875.757223792,438530.036514875,인천광역시
1733,호텔갤러리,경기도 포천시 소흘읍 죽엽산로 432-17,214442.863744276,477087.295041914,경기도
1734,스텔라이,서울특별시 금천구 두산로5길 7 (독산동),190204.539880665,440974.712401628,서울특별시
1735,무제여관,대구광역시 동구 신암남로 94 (신암동),346767.984967508,265626.670638708,대구광역시
1736,스타비아 관광호텔,경기도 김포시 태장로795번길 147 (장기동),172097.418897451,459816.39225749,경기도
1737,송정스카이풀,"부산광역시 해운대구 송정광어골로 19, 상림빌딩 3~5층 (송정동)",400192.402342594,188896.461179341,부산광역시
1738,메르블루,제주특별자치도 제주시 서해안로 368 (도두이동),151986.808270521,1780.8214549941,제주특별자치도
1739,라온하우스 호스텔,전라남도 순천시 왕지로 238-3 (왕지동),249654.277251146,164604.679884629,전라남도
1740,서울H,서울특별시 영등포구 양산로1길 13 (양평동3가),189758.735655025,447157.130858016,서울특별시
1741,(주)호텔롯데 시그니엘 부산,"부산광역시 해운대구 달맞이길 30, 랜드마크타워동동 3~19층 (중동, 엘시티)",397540.467298187,186751.661439715,부산광역시
1742,호텔피코,경상남도 통영시 항남4길 19 (항남동),329981.833996621,150130.914616424,경상남도
1743,호텔루 136,"서울특별시 은평구 진흥로 136, 호텔루 136 (녹번동)",193336.177185859,456159.464402602,서울특별시
1744,펜톤나인,"부산광역시 해운대구 송정광어골로 15-1, 2~4층 (송정동)",400211.697271779,188918.077386148,부산광역시
1745,송정스케치.K,부산광역시 해운대구 송정중앙로6번길 54 (송정동),400336.809488059,189143.147865081,부산광역시
1746,스테이 732,전라남도 여수시 공화북4길 5 (공화동),267990.90889276,138994.985779087,전라남도
1747,페어필드 바이 메리어트 부산 송도비치호텔,부산광역시 서구 송도해변로 113 (암남동),384099.64456646,177273.347402586,부산광역시
1748,본레브호텔,부산광역시 기장군 기장읍 기장해안로 460,402344.632192522,192969.65999221,부산광역시
1749,소설스미스호텔,"경기도 용인시 기흥구 민속촌로 57, 소설스미스 (보라동)",209783.272676602,417106.538576377,경기도
1750,화이트큐브 24,경기도 가평군 설악면 자잠로282번길 72-115,244197.590396789,466415.086283819,경기도
1751,힛포,"인천광역시 중구 선녀바위로55번길 10-4, 을왕선녀펜션 (을왕동)",144971.583226941,437862.338031917,인천광역시
1752,더스터닝,경상북도 안동시 뒨지게길 22-10 (정하동),353927.709479837,340218.363656183,경상북도
1753,타이드어웨이풀빌라,부산광역시 기장군 기장읍 기장해안로 26,401105.732544428,189231.40397068,부산광역시
1754,호텔 유파이브(HOTEL U5),서울특별시 중구 동호로 369 (을지로5가),200095.261182808,451680.793663218,서울특별시
1755,(주)엠시에타호텔광명 테이크호텔,경기도 광명시 신기로 22 (일직동),189541.850018502,435187.738812827,경기도
1756,해처럼,"인천광역시 중구 왕산로 72, 해처럼팬션 (을왕동)",143895.632565636,440319.171938863,인천광역시
1757,골든캐프호텔,대구광역시 동구 율암로 156-28 (상매동),354010.469849012,266822.901383458,대구광역시
1758,일진리조트(주),"충청남도 태안군 태안읍 기업도시9길 205, 층",139746.342342195,355137.569911894,충청남도
1759,스테이지리산아침,전라남도 구례군 마산면 화엄사로 205,244348.564409393,192203.775288733,전라남도
1760,빌라 퍼즈 3호점,경기도 가평군 설악면 유명로 2150-46,240583.72135846,466396.265499122,경기도
1761,빨간모자달팽이,제주특별자치도 서귀포시 중앙로4번길 15 (서귀동),159243.232551774,-27749.6392010695,제주특별자치도
1762,시에스타 펜션,경상북도 울릉군 울릉읍 울릉순환로 31-19,545931.30406845,452385.652032495,경상북도
1763,자리움 풀빌라,전라남도 여수시 돌산읍 마상포길 30,270169.387049187,134981.961217044,전라남도
1764,빌라 퍼즈 2호점,경기도 가평군 설악면 유명로 2150-54,240568.584570963,466430.857794195,경기도
1765,원더풀,"인천광역시 중구 왕산로 68-16, 원더풀팬션 (을왕동)",143955.019110697,440319.32108627,인천광역시
1766,꿈,인천광역시 중구 용유서로 380-18 (을왕동),144433.789482501,438996.070474687,인천광역시
1767,건맥스테이,전라남도 목포시 해안로237번길 10-1 (행복동1가),143828.212147767,143308.737191442,전라남도
1768,블루망고풀빌라앤리조트,전라남도 여수시 돌산읍 계동해안길 90,272684.786265793,129398.997893828,전라남도
1769,후탄,경기도 가평군 상면 구정동길 13,234987.88125083,473063.62690058,경기도
1770,쿠무다레스메종,"부산광역시 해운대구 송정광어골로 41, 5~8층 (송정동)",400087.05396596,188680.789824039,부산광역시
1771,소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스(가족호텔),"서울특별시 송파구 잠실로 209, KT송파타워 (신천동)",209337.104501753,445744.864426145,서울특별시
1772,소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스(관광호텔),"서울특별시 송파구 잠실로 209, KT송파타워 (신천동)",209337.104501753,445744.864426145,서울특별시
1773,주니비노호텔,"서울특별시 마포구 양화진2길 31, 주니비노 호텔 (합정동)",192043.507297118,449524.361048163,서울특별시
1774,선재해림,인천광역시 옹진군 영흥면 선재로226번길 107-34,157943.955906711,416808.334827174,인천광역시
1775,휴가,부산광역시 해운대구 송정구덕포길 164 (송정동),400096.546096473,187694.981177043,부산광역시
1776,아몬드키즈관광호텔,경상남도 김해시 활천로237번길 8-13 (어방동),373432.609804402,195442.461727674,경상남도
1777,JN PARK HOTEL(제이앤파크호텔),인천광역시 중구 용유서로 262-15 (을왕동),144981.850895401,438261.396547053,인천광역시
1778,다온프라임 호스텔,경상북도 울릉군 울릉읍 봉래길 6-75,545538.416489425,451142.813570473,경상북도
1779,루미아호텔앤리조트,전라남도 완도군 신지면 울몰길 49,184626.976057085,92578.823477463,전라남도
1780,에이치원호텔,광주광역시 북구 대자로106번길 10-6 (운암동),189338.63868568,185955.870455313,광주광역시
1781,상상그린 G. HOUSE,서울특별시 영등포구 선유서로31길 10-4 (양평동3가),189814.291077523,447181.999973293,서울특별시
1782,라벤다,전라남도 여수시 돌산읍 돌산로 3159-4,269379.42881776,134133.662516989,전라남도
1783,가즈아,전라남도 여수시 돌산읍 돌산로 3159-6,269369.169558703,134091.446741206,전라남도
1784,동백에어 B&B,전라남도 여수시 봉산남2길 15 (봉산동),266060.160804515,137611.915524494,전라남도
1785,프리뮬러호텔,제주특별자치도 서귀포시 대정읍 일주서로 2093,134067.684753352,-27130.6749430806,제주특별자치도
1786,펜시오션 풀빌라,전라남도 여수시 돌산읍 계동해안길 93,272749.99695903,129445.764162239,전라남도
1787,더(The)라온,전라남도 목포시 고하도길 61 (달동),141990.639554837,140349.86744283,전라남도
1788,바닷가 하얀목화밭,전라남도 목포시 고하도길 57 (달동),141969.770547991,140333.336240076,전라남도
1789,가평남이섬 블리스 풀빌라 펜션,"경기도 가평군 가평읍 북한강변로 1007-82, 가평남이섬 블리스 풀빌라 펜션",245954.569118702,478008.212869451,경기도
1790,레이크힐스 호텔속리산,"충청북도 보은군 속리산면 법주사로 305, 관광호텔",273813.754151883,337295.89727233,충청북도
1791,슈슈풀빌라,충청남도 태안군 남면 청포대길 57-66,137525.111883591,348614.76351772,충청남도
1792,아르비토,경상남도 사천시 서포면 토끼로 245-39,288117.788984027,165713.037744285,경상남도
1793,종로하루,"서울특별시 종로구 창경궁로21가길 5-3, 종로하루 (원남동)",199626.352160596,452520.392539419,서울특별시
1794,스톤아일랜드 풀빌라,"전라남도 여수시 돌산읍 돌산로 3169-24, 스톤아일랜드",269170.651896835,134077.456707196,전라남도
1795,코코모호텔,"서울특별시 구로구 새말로 20, 코코모호텔 (구로동)",189616.936088565,444424.824149503,서울특별시
1796,The 좋은집,전라남도 목포시 호남로52번길 14-1 (창평동),143534.253959691,144040.548608494,전라남도
1797,그레이193호텔,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 B동 5~6층 (민락동)",393521.998603867,185933.100965604,부산광역시
1798,더블트리 바이 힐튼 서울 판교 레지던스,경기도 성남시 분당구 백현로 26 (정자동),209146.634388634,430959.17443004,경기도
1799,더블트리 바이 힐튼 서울 판교,경기도 성남시 분당구 백현로 26 (정자동),209146.634388634,430959.17443004,경기도
1800,메르벨르A,부산광역시 기장군 일광읍 장곡길 83-10,404495.634736906,202847.259326048,부산광역시
1801,메르벨르B,부산광역시 기장군 일광읍 장곡길 83-12,404480.687664154,202833.211051301,부산광역시
1802,어울림 펜션,인천광역시 중구 용유서로348번길 11-12 (을왕동),144514.930368005,438786.661600338,인천광역시
1803,삼매봉호텔,제주특별자치도 서귀포시 태평로 152 (호근동),156876.834862411,-28023.6216328035,제주특별자치도
1804,오레브 리조트(O'reve RESORT),"제주특별자치도 서귀포시 태평로 156, 델앤델리조트 (호근동)",157061.223515719,-27848.9579881151,제주특별자치도
1805,나인트리 프리미어 로카우스호텔 서울 용산(Nine Tree Premier ROKAUS Hotel Seoul Yongsan),서울특별시 용산구 한강대로23길 25 (한강로3가),196785.404801941,447267.982864433,서울특별시
1806,강진스테이오소,전라남도 강진군 강진읍 탐진로 166-7,179091.054635219,127304.768284913,전라남도
1807,솔레이 호텔,"울산광역시 북구 산음10길 40, 솔레이 (산하동)",421047.459893059,239067.18064841,울산광역시
1809,빌라드오,경기도 가평군 상면 임초밤안골로 120-23,232613.477350203,473006.298268521,경기도
1810,지상낙원,"부산광역시 수영구 광안로 67, 6층 (민락동)",393062.244097255,185989.30356542,부산광역시
1811,대가야의 목금토-꿈꾸는 시간여행자센터,경상북도 고령군 대가야읍 시장1길 9-10,314449.054577468,248008.503787153,경상북도
1812,마요트 관광호텔,경기도 의왕시 오봉산단3로 14 (삼동),195825.043582574,425038.023418434,경기도
1814,멜로우오렌지,전라남도 여수시 소라면 궁항길 127-38,252233.111295129,141973.970808171,전라남도
1815,힐마루 골프앤리조트 포천(A-타워형),경기도 포천시 영중면 금화봉4길 77-1,219684.861700442,498694.740802598,경기도
1816,메종드센텀,부산광역시 수영구 수영로680번길 14 (광안동),392687.496171431,187276.332836621,부산광역시
1817,더온 호텔,충청남도 서산시 대산읍 망일산로 746,150506.21435664,382789.908920145,충청남도
1818,TRAMONTO,경기도 파주시 탄현면 새오리로 20,172557.711161913,476194.993823378,경기도
1819,스테이위더스,"부산광역시 수영구 광남로142번길 9, 2층 (광안동)",392913.254132793,185913.367723966,부산광역시
1820,Stay Lazy Morning,"부산광역시 수영구 광안해변로 235, 6~7층 (민락동)",393085.150482681,186011.990468756,부산광역시
1821,유달산그집,전라남도 목포시 유동로 60 (대의동3가),143224.881602183,143336.289103286,전라남도
1822,앙비떼 관광호텔,경기도 용인시 기흥구 신정로 212 (신갈동),208762.590005121,420812.64142364,경기도
1825,해비치 힐,경기도 파주시 탄현면 방촌로955번길 270-36,175953.462727642,481150.289475241,경기도
1826,뉴올래스테이 호스텔,충청북도 청주시 청원구 주중로165번길 183 (주중동),243549.794842694,354649.892868965,충청북도
1827,올래스테이 호스텔,충청북도 청주시 청원구 주중로165번길 191 (주중동),243570.943054555,354635.087951558,충청북도
1828,연모지정,전라남도 목포시 영산로59번길 14-1 (무안동),143569.504263229,143573.494281686,전라남도
1829,어라연 관광호텔,강원특별자치도 영월군 영월읍 은행나무길 22,330007.740391582,409713.396409886,강원특별자치도
1830,글림,강원특별자치도 양양군 현남면 동산큰길 11,354475.885119982,498591.886674376,강원특별자치도
1831,오션뷰목포스테이,"전라남도 목포시 해안로 159, 5층 1호 (해안동3가)",143304.514899444,142777.188004001,전라남도
1832,블루버드 호텔,"인천광역시 연수구 용담로85번길 8-7, 신창빌딩 (청학동)",171232.510013581,435017.682855275,인천광역시
1833,아델린 풀빌라,강원특별자치도 강릉시 대송길46번길 52 (대전동),362327.689278917,478136.919533687,강원특별자치도
1834,치치하우스,전라남도 여수시 중앙로 79 (중앙동),267365.332604498,138189.313259003,전라남도
1835,하일호스텔,서울특별시 광진구 동일로30길 10 (화양동),205913.766725576,449481.459608894,서울특별시
1836,스토너리(STONERY),인천광역시 강화군 내가면 강화서로 91-5,145635.046601337,467821.102990147,인천광역시
1837,까사구스토,경기도 파주시 법원읍 칡울길 25-9,191600.417729564,483211.183393484,경기도
1838,덕성민박,부산광역시 중구 동광길 71-1 (동광동5가),385457.317983616,180435.824472503,부산광역시
1839,황남inn,경상북도 경주시 계림로 109 (노동동),399908.030670941,262687.015028004,경상북도
1840,더프리마호텔 종로,"서울특별시 종로구 우정국로 46, 천마빌딩 (견지동)",198469.85451949,452315.746209246,서울특별시
